Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,28
141.3,212.0,0.0,203.5,0.00,971.8,748.5,28
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3
424.0,22.0,132.0,178.0,8.48,882.0,750.0,3
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180
